timestamp	step	foreground/acc
1645813735677	0	0.0
1645813743680	1	0.0
1645813751615	2	2.7026990210288204e-06
1645813759619	3	0.0
1645813767609	4	0.4515760540962219
1645813775578	5	0.6472613215446472
1645813783506	6	4.724379778053844e-06
1645813791436	7	0.5442497134208679
1645813799395	8	0.7479942440986633
1645813807326	9	0.6617977023124695
1645813815301	10	0.7391025424003601
1645813823313	11	0.7217634916305542
1645813831334	12	0.7498068809509277
1645813839366	13	0.7543796300888062
1645813847400	14	0.8088443279266357
1645813855444	15	0.8064622282981873
