timestamp	step	dice/multi
1646277057077	0	0.4753671108064856
1646277065312	1	0.4753671108064856
1646277073229	2	0.4753671108064856
1646277081065	3	0.8038527308706997
1646277089231	4	0.7484889916742514
1646277097288	5	0.8413094064467403
1646277105459	6	0.8260030207380107
1646277113476	7	0.8492575111113198
1646277121517	8	0.8932579750769045
1646277129726	9	0.8989295083121411
1646277137928	10	0.8953963429896413
1646277146278	11	0.9145158322652829
1646277154562	12	0.9008550713443539
1646277162704	13	0.9219932468592589
1646277170904	14	0.923100893950098
1646277179120	15	0.9247311381955047
