step	jaccard_coeff
0	0.0
1	0.0
2	0.0
3	0.0
4	0.004416514261255302
5	0.46649461400359066
6	0.6305889227242593
7	0.6390261802060867
8	0.6380745842505612
9	0.6697879909758778
10	0.7033921353832207
11	0.7232045355097693
12	0.749618499823923
13	0.7551019508237203
14	0.7410638540850952
15	0.7559062427477373
16	0.760425989605414
17	0.7594604965273781
18	0.7439416947289866
19	0.774216636876987
20	0.7777985339803853
21	0.780731330879734
22	0.786855638793278
23	0.7785836327595038
24	0.789395512835994
25	0.789592169399253
26	0.7942505431430955
27	0.7968523820246405
28	0.796969125372739
29	0.7967964597513167
30	0.7956709610306474
