step	dice
0	0.0
1	0.0
2	0.0
3	0.0
4	0.008794188861985472
5	0.6362036512770288
6	0.7734492905431015
7	0.7797632373702992
8	0.7790543732079062
9	0.802243152538703
10	0.8258722354908313
11	0.8393716713330566
12	0.8568936598456893
13	0.8604650578495785
14	0.851277053792509
15	0.8609870212259787
16	0.8639113420222314
17	0.8632879203895902
18	0.8531726685330466
19	0.8727419423140786
20	0.8750131346311111
21	0.8768659452900507
22	0.8807153993980927
23	0.8755097240510614
24	0.8823041157456457
25	0.882426938271987
26	0.8853284689570271
27	0.8869425112448811
28	0.8870148230370141
29	0.8869078691991594
30	0.8862102003074798
