timestamp	step	train/loss
1663862736875	0	0.39487847685813904
1663862749718	1	0.2739119827747345
1663862762683	2	0.2510013282299042
1663862776187	3	0.2090463787317276
1663862789407	4	0.17943142354488373
1663862802458	5	0.27403396368026733
1663862815547	6	0.23131737112998962
1663862828610	7	0.17449639737606049
1663862842016	8	0.13595518469810486
1663862855621	9	0.11135925352573395
1663862868894	10	0.0979410782456398
1663862882055	11	0.07624770700931549
1663862895336	12	0.06743539124727249
1663862909055	13	0.058367229998111725
1663862922439	14	0.05484924465417862
1663862935817	15	0.051394686102867126
