timestamp	step	train/loss
1655779225231	0	0.413580983877182
1655779235110	1	0.3217197060585022
1655779244897	2	0.2728178799152374
1655779254596	3	0.23577721416950226
1655779264229	4	0.2039303481578827
1655779273867	5	0.20257863402366638
1655779283537	6	0.21171654760837555
1655779293232	7	0.2589186728000641
1655779302940	8	0.23362743854522705
1655779312675	9	0.18979628384113312
1655779322377	10	0.1515296995639801
1655779332045	11	0.12394994497299194
1655779341712	12	0.10594552010297775
1655779351376	13	0.09190736711025238
1655779361072	14	0.08764181286096573
1655779370758	15	0.07939377427101135
1655779380459	16	0.06944793462753296
1655779390201	17	0.06230812892317772
1655779399998	18	0.06129065528512001
1655779409882	19	0.05916524678468704
1655779419842	20	0.05605270713567734
