step	train/loss
0	0.5754785537719727
1	0.32318565249443054
2	0.32086870074272156
3	0.28912845253944397
4	0.24366426467895508
5	0.23757892847061157
6	0.2451360821723938
7	0.22102199494838715
8	0.19799844920635223
9	0.1724320352077484
10	0.15191997587680817
11	0.14098627865314484
12	0.12888991832733154
13	0.11608465760946274
14	0.10554902255535126
15	0.09595749527215958
16	0.08921952545642853
17	0.09172671288251877
18	0.08490022271871567
19	0.08242809027433395
20	0.07263356447219849
21	0.06716793775558472
22	0.06270477920770645
23	0.057302605360746384
24	0.05302496626973152
25	0.05017842724919319
26	0.047223445028066635
27	0.044732775539159775
28	0.04209376499056816
29	0.03990184888243675
30	0.0404764860868454
