timestamp	step	epoch
1666699374715	0	0.0
1666699386218	1	0.0
1666699397745	2	1.0
1666699409510	3	2.0
1666699421780	4	3.0
1666699433517	5	4.0
1666699445536	6	5.0
1666699457291	7	6.0
1666699469031	8	7.0
1666699481017	9	8.0
1666699492688	10	9.0
1666699504223	11	10.0
1666699516094	12	11.0
1666699527552	13	12.0
1666699538979	14	13.0
1666699550619	15	14.0
