timestamp	step	jaccard_coeff
1663862736876	0	0.0
1663862749720	1	0.0
1663862762685	2	0.0
1663862776189	3	0.5397436240737836
1663862789411	4	0.1777979302251147
1663862802460	5	0.2419130378497338
1663862815550	6	0.66137049941928
1663862828612	7	0.6770377369405504
1663862842019	8	0.5247219580365288
1663862855623	9	0.6965219207243135
1663862868897	10	0.7131210208320647
1663862882057	11	0.7283817658527527
1663862895339	12	0.7539917999612874
1663862909058	13	0.7602203864281881
1663862922442	14	0.7730991457232994
1663862935819	15	0.7755811563557063
