timestamp	step	dice
1663204590508	0	0.0
1663204603485	1	0.0
1663204616466	2	0.0
1663204629939	3	0.0
1663204643245	4	0.48645700679468906
1663204656571	5	0.5723529132145324
1663204670073	6	0.6548703447189969
1663204683450	7	0.703931513101489
1663204697094	8	0.7376704513985046
1663204710739	9	0.7654736167827688
1663204724590	10	0.8052719351175686
1663204738201	11	0.7489522585854026
1663204752424	12	0.8187744897713888
1663204766493	13	0.8070174593154098
1663204780556	14	0.8082234118099481
1663204794231	15	0.8074679723338007
